ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"106916",45.07117747,7.693414986,Torino,"5",2750.5,"11"
"108098",45.07149366,7.69317627,Torino,"6",3250.5,"11"
"105322",45.07260921,7.693945312,Torino,"4",2250.5,"11"
"107484",45.06974729,7.694892883,Torino,"3",1750.5,"11"
"107167",45.07227583,7.692486191,Torino,"10",6500.5,"11"
"106320",45.06869944,7.698108101,Torino,"2",1250.5,"11"
"4121",45.07049,7.69391,Torino,"5",2750.5,"11"
"103197",45.07042704,7.696005249,Torino,"4",2250.5,"11"
"103303",45.0708059,7.696799183,Torino,"9",5500.5,"11"
"105157",45.06194006,7.699438477,Torino,"5",2750.5,"13"
"107922",45.06324459,7.701929283,Torino,"6",3250.5,"13"
"6450",45.06162,7.70279,Torino,"4",2250.5,"13"
"110561",45.0614217,7.705828255,Torino,"15",15000,"13"
"3557",45.06282,7.71187,Torino,"15",15000,"13"
"103566",45.06440351,7.704711906,Torino,"14",12500.5,"13"
"107336",45.06485002,7.706304932,Torino,"9",5500.5,"13"
"108365",45.06414492,7.702102661,Torino,"5",2750.5,"13"
"108764",45.0611216,7.701541328,Torino,"6",3250.5,"13"
"5586",45.06272,7.7076,Torino,"15",15000,"13"
"4682",45.06,7.69945,Torino,"8",4250.5,"13"
"108704",45.07309412,7.664162064,Torino,"7",3750.5,"17"
"110229",45.07212105,7.661162474,Torino,"8",4250.5,"17"
"109059",45.07300366,7.655878768,Torino,"15",15000,"17"
"744",45.07084,7.65678,Torino,"11",7500.5,"17"
"3707",45.07206,7.65811,Torino,"3",1750.5,"17"
"3851",45.07012,7.66006,Torino,"8",4250.5,"17"
"4140",45.07115,7.65563,Torino,"14",12500.5,"17"
"105499",45.07266393,7.65953064,Torino,"4",2250.5,"17"
"105671",45.06969964,7.659613037,Torino,"7",3750.5,"17"
"6050",45.07567,7.65631,Torino,"15",15000,"17"
"6296",45.07551,7.65653,Torino,"5",2750.5,"17"
"105768",45.07454884,7.665964508,Torino,"7",3750.5,"17"
"107575",45.07210822,7.664498091,Torino,"15",15000,"17"
"6205",45.07175,7.66294,Torino,"14",12500.5,"17"
"1193",45.07058,7.66261,Torino,"2",1250.5,"17"
"3939",45.07055,7.66267,Torino,"6",3250.5,"17"
"5274",45.07013,7.66384,Torino,"8",4250.5,"17"
"5326",45.07059,7.66395,Torino,"6",3250.5,"17"
"105110",45.07076043,7.66373291,Torino,"15",15000,"17"
"105314",45.0704454,7.66395092,Torino,"2",1250.5,"17"
"105580",45.0704422,7.663968945,Torino,"2",1250.5,"17"
"107582",45.07091198,7.663046265,Torino,"9",5500.5,"17"
"108463",45.07103321,7.66373291,Torino,"4",2250.5,"17"
"108532",45.07066193,7.663786554,Torino,"15",15000,"17"
"108824",45.07454884,7.662359619,Torino,"4",2250.5,"17"
"102331",45.07363358,7.661810302,Torino,"7",3750.5,"17"
"106209",45.07370457,7.661805152,Torino,"12",8500.5,"17"
"105476",45.07111874,7.664592147,Torino,"3",1750.5,"17"
"105584",45.07122937,7.664637566,Torino,"7",3750.5,"17"
"4020",45.06917,7.66296,Torino,"9",5500.5,"17"
"107338",45.06990004,7.663135529,Torino,"15",15000,"17"
"4329",45.06939,7.66221,Torino,"4",2250.5,"17"
"104480",45.06951778,7.66244545,Torino,"7",3750.5,"17"
"108514",45.06926031,7.662731055,Torino,"4",2250.5,"17"
"110574",45.06886808,7.662399837,Torino,"3",1750.5,"17"
"4754",45.07515,7.72069,Torino,"2",1250.5,"22"
"5145",45.06963,7.71564,Torino,"2",1250.5,"22"
"105665",45.07584441,7.724216723,Torino,"2",1250.5,"22"
"5500",45.07234,7.70878,Torino,"15",15000,"22"
"103888",45.07212429,7.708021545,Torino,"2",1250.5,"22"
"101673",45.08248852,7.643391037,Torino,"15",15000,"30"
"4165",45.07538,7.63588,Torino,"14",12500.5,"30"
"6018",45.07925,7.63874,Torino,"2",1250.5,"30"
"6765",45.077,7.63863,Torino,"5",2750.5,"30"
"105124",45.08521563,7.648626709,Torino,"5",2750.5,"30"
"102953",45.07557924,7.643262291,Torino,"5",2750.5,"30"
"106072",45.0764884,7.70355835,Torino,"10",6500.5,"36"
"1188",45.07821,7.71491,Torino,"12",8500.5,"36"
"5563",45.07722,7.71685,Torino,"3",1750.5,"36"
"6178",45.07629,7.70421,Torino,"6",3250.5,"36"
"104492",45.07636718,7.704416656,Torino,"3",1750.5,"36"
"4368",45.07501,7.71111,Torino,"4",2250.5,"36"
"5601",45.07499,7.71146,Torino,"6",3250.5,"36"
"108779",45.08315516,7.697721863,Torino,"15",15000,"36"
"6464",45.08652,7.70465,Torino,"14",12500.5,"36"
"5057",45.08688,7.70581,Torino,"14",12500.5,"36"
"5999",45.08553,7.70702,Torino,"3",1750.5,"36"
"6256",45.08544,7.7075,Torino,"3",1750.5,"36"
"6480",45.0856,7.70684,Torino,"15",15000,"36"
"102980",45.08618524,7.704931641,Torino,"3",1750.5,"36"
"6082",45.08509,7.7035,Torino,"15",15000,"36"
