,ID,q3_lat,q3_long,q3_district,q4_lat,q4_long,q4_district,q56,q1_Impo,q6_motcode,Avg_Income
136,845,45.07231,7.64494,Torino,45.06311,7.66216,Torino,6.0,3,1,3250.5
137,846,45.0451,7.66954,Torino,45.0451,7.66954,Torino,15.0,3,2,15000.0
138,850,45.04758,7.66065,Torino,45.06529,7.65673,Torino,7.0,3,1,3750.5
139,851,45.04809,7.63822,Torino,45.06243,7.66237,Torino,15.0,3,5,15000.0
140,859,44.89425,8.20005,Asti,45.06428,7.6596,Torino,6.0,3,1,3250.5
142,869,45.30368,7.74438,Feletto,45.06325,7.68027,Torino,15.0,3,1,15000.0
143,877,45.07091,7.61818,Torino,45.06248,7.66118,Torino,2.0,3,5,1250.5
144,878,45.00349,7.8377,Chieri,45.06437,7.65936,Torino,11.0,3,4,7500.5
145,885,44.88746,7.33686,Pinerolo,45.06397,7.65982,Torino,2.0,3,1,1250.5
146,891,45.10415,7.67969,Torino,45.06436,7.65961,Torino,3.0,3,1,1750.5
147,894,45.09118,7.67049,Torino,45.06261,7.66283,Torino,5.0,3,5,2750.5
148,900,45.05628,7.6629,Torino,45.06259,7.66281,Torino,6.0,3,11,3250.5
149,901,45.05719,7.64163,Torino,45.06498,7.6582,Torino,6.0,3,5,3250.5
150,905,45.07674,7.64884,Torino,45.05327,7.68226,Torino,15.0,3,9,15000.0
151,906,45.04214,7.67236,Torino,45.0623,7.66195,Torino,5.0,3,5,2750.5
152,907,45.07049,7.70957,Torino,45.06251,7.66279,Torino,6.0,3,5,3250.5
153,908,45.13584,7.75878,Settimo Torinese,45.0627,7.66231,Torino,7.0,3,1,3750.5
154,921,45.06065,7.6511,Torino,45.06273,7.66151,Torino,8.0,3,11,4250.5
155,930,45.08454,7.68865,Torino,45.06423,7.65954,Torino,2.0,1,9,1250.5
156,934,45.06425,7.66294,Torino,45.0533,7.68237,Torino,14.0,3,5,12500.5
157,935,45.08508,7.62324,Torino,45.06238,7.66248,Torino,11.0,3,5,7500.5
158,942,45.05031,7.65079,Torino,45.06212,7.66253,Torino,2.0,3,5,1250.5
159,944,44.59731,8.02963,Sinio,45.06236,7.66213,Torino,6.0,3,1,3250.5
160,947,45.05088,7.75564,Pino Torinese,45.06245,7.66239,Torino,6.0,3,1,3250.5
161,952,45.09865,7.5265,Alpignano,45.06516,7.66123,Torino,14.0,3,1,12500.5
162,953,45.07604,7.68316,Torino,45.06261,7.66279,Torino,5.0,3,1,2750.5
163,954,45.05941,7.67409,Torino,45.0627,7.66159,Torino,3.0,3,11,1750.5
165,956,45.06361,7.65255,Torino,45.07145,7.61342,Torino,14.0,5,1,12500.5
166,959,45.15783,7.00172,Venaus,45.06282,7.66175,Torino,2.0,3,1,1250.5
167,960,45.01136,7.66381,Moncalieri,45.05428,7.68538,Torino,15.0,3,2,15000.0
168,961,44.59658,7.86453,Narzole,45.06248,7.6624,Torino,14.0,3,1,12500.5
169,963,45.30594,7.88259,Caluso,45.06217,7.66155,Torino,3.0,3,1,1750.5
170,964,45.05214,7.65676,Torino,45.06238,7.66252,Torino,5.0,3,10,2750.5
171,965,45.06569,7.65563,Torino,45.06683,7.65962,Torino,5.0,3,11,2750.5
172,971,45.06285,7.66746,Torino,45.06224,7.66244,Torino,3.0,3,11,1750.5
173,972,45.04167,7.77903,Pino Torinese,45.0626,7.66281,Torino,3.0,3,5,1750.5
174,973,45.05831,7.65397,Torino,45.06328,7.65998,Torino,8.0,3,11,4250.5
175,986,45.15887,7.43927,Val della Torre,45.06425,7.65953,Torino,4.0,3,2,2250.5
176,992,45.07416,7.62415,Torino,45.03954,7.67845,Torino,4.0,5,9,2250.5
177,996,45.076,7.45924,Rosta,45.06241,7.66298,Torino,14.0,3,1,12500.5
178,1003,45.07898,7.6755,Torino,45.06199,7.66255,Torino,4.0,3,5,2250.5
179,1013,44.80622,7.29818,Campiglione Fenile,45.06343,7.65944,Torino,15.0,3,1,15000.0
180,1021,44.68049,7.99813,Alba,45.0632,7.66284,Torino,7.0,3,1,3750.5
182,1028,45.00467,7.67332,Moncalieri,45.06225,7.66244,Torino,7.0,3,1,3750.5
183,1029,45.05389,7.67839,Torino,45.06247,7.66232,Torino,3.0,3,5,1750.5
184,1030,45.30638,7.89456,Caluso,45.06282,7.66193,Torino,5.0,3,1,2750.5
185,1033,45.29885,7.93206,Mazzè,45.05419,7.68646,Torino,2.0,3,1,1250.5
188,1045,45.06612,7.64882,Torino,45.06221,7.6625,Torino,4.0,3,11,2250.5
189,1039,45.00456,7.53557,Orbassano,45.06243,7.66286,Torino,5.0,3,6,2750.5
190,1046,45.19907,7.57061,Robassomero,45.0627,7.66013,Torino,3.0,3,2,1750.5
191,1053,45.1772,7.51737,La Cassa,45.07361,7.66809,Torino,2.0,1,1,1250.5
