,SEZCENS,NCIRCO,ZONASTAT,SUPERF,AREA_CENS,CODASC,P_TOT,MALE_TOT,FEM_TOT,age 0-9,age 10-24,age 25-39,age 40-64,age >65,male 0-9,male 10-24,male 25-39,male 40-64,male >65,P47,P48,P49,P50,P51,P52,P61,P62,P128,P130,P131,P135,P137,P138,ST1,ST3,ST4,ST5,ST9,ST10,ST11,ST12,ST13,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,INCOMEinco,home,work,eating,entertainment,recreation,shopping,travel,admin_chores,religious,health,police,education
1054,424,7,11,4627.14,71.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4606.06,0.09000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0
1055,434,7,11,11112.07,71.0,7.0,374.0,182.0,192.0,30.0,36.0,106.0,146.0,85.0,17.0,21.0,50.0,56.0,38.0,97.0,82.0,78.0,69.0,25.0,5.0,162.0,18.0,145.0,31.0,14.0,21.0,156.0,19.0,44.0,18.0,21.0,5.0,22.0,15.0,3.0,4.0,0.0,199.0,374.0,102.0,50.0,23.0,19.0,3.0,2.0,12.0,4606.06,0.09,0.14263157894736841,0.12789473684210526,0.042631578947368416,0.12789473684210526,0.2984210526315789,0.0,0.042631578947368416,0.0,0.12789473684210526,0.0,0.0
1056,453,7,12,7289.47,66.0,7.0,15.0,7.0,8.0,4.0,2.0,1.0,7.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,7.0,2.0,2.0,0.0,3.0,1.0,6.0,3.0,1.0,0.0,6.0,0.0,5.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4664.280000000002,0.29250000000000004,0.1,0.0,0.0,0.10125,0.50625,0.0,0.0,0.0,0.0,0.0,0.0
1057,460,7,12,10016.55,66.0,7.0,268.0,130.0,138.0,35.0,39.0,67.0,95.0,37.0,20.0,20.0,34.0,38.0,18.0,26.0,76.0,87.0,38.0,16.0,1.0,116.0,8.0,92.0,21.0,18.0,9.0,132.0,17.0,72.0,36.0,34.0,2.0,31.0,14.0,1.0,26.0,0.0,117.0,268.0,42.0,31.0,21.0,16.0,6.0,1.0,7.0,4664.280000000002,0.09,0.47384615384615386,0.06230769230769231,0.0,0.06230769230769231,0.12461538461538461,0.06230769230769231,0.0,0.0,0.12461538461538461,0.0,0.0
1058,465,7,12,8617.19,66.0,7.0,306.0,135.0,171.0,34.0,48.0,60.0,117.0,63.0,18.0,18.0,24.0,53.0,22.0,30.0,83.0,91.0,48.0,24.0,6.0,125.0,10.0,123.0,21.0,24.0,19.0,130.0,17.0,131.0,64.0,57.0,10.0,72.0,37.0,4.0,18.0,0.0,136.0,306.0,56.0,30.0,23.0,18.0,5.0,4.0,24.0,4664.280000000002,0.09000000000000001,0.1,0.54,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
1059,467,7,12,4509.69,66.0,7.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4664.280000000002,0.09000000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
1060,8,1,01,8572.55,17.0,1.0,283.0,162.0,121.0,22.0,36.0,76.0,122.0,37.0,13.0,20.0,44.0,66.0,19.0,75.0,78.0,65.0,28.0,19.0,4.0,146.0,14.0,89.0,16.0,9.0,27.0,127.0,15.0,69.0,30.0,32.0,7.0,31.0,7.0,10.0,21.0,0.0,162.0,283.0,90.0,39.0,20.0,11.0,1.0,1.0,6.0,5416.55,0.135,0.19,0.36,0.0,0.045,0.18,0.0,0.045,0.0,0.045,0.0,0.0
1061,21,1,01,8852.15,17.0,1.0,85.0,38.0,47.0,5.0,11.0,11.0,41.0,23.0,3.0,5.0,7.0,14.0,9.0,11.0,28.0,20.0,16.0,6.0,1.0,32.0,3.0,43.0,7.0,9.0,5.0,41.0,2.0,11.0,6.0,4.0,1.0,3.0,0.0,8.0,0.0,0.0,42.0,85.0,20.0,10.0,7.0,3.0,1.0,1.0,7.0,5416.55,0.09,0.09999999999999999,0.0,0.20249999999999999,0.0,0.40499999999999997,0.0,0.0,0.20249999999999999,0.0,0.0,0.0
1062,32,1,01,3862.35,17.0,1.0,9.0,4.0,5.0,0.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,5416.55,0.09,0.1,0.0,0.0,0.0,0.36,0.0,0.36,0.0,0.09,0.0,0.0
1063,37,1,01,8168.39,18.0,1.0,59.0,29.0,30.0,7.0,3.0,18.0,20.0,11.0,3.0,0.0,13.0,10.0,3.0,22.0,17.0,7.0,5.0,1.0,0.0,32.0,1.0,19.0,0.0,5.0,2.0,32.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,59.0,19.0,6.0,4.0,4.0,0.0,0.0,0.0,5416.55,0.19125,0.1,0.30375,0.050625,0.10125,0.151875,0.0,0.050625,0.0,0.050625,0.0,0.0
